time,measurement,value
2023-08-10 07:45:42.490944+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:42.700093+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:43.223911+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:43.421560+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:43.628557+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:44.015796+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:44.177122+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:44.328377+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:44.688230+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:44.894726+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:45.043529+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:46.147649+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:46.301473+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:46.461872+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:46.612214+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:47.350589+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:47.557640+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:48.078915+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:48.509447+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:48.854844+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:49.159923+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:49.356719+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:49.609108+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:49.974107+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:50.122320+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:50.271429+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:50.429403+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:50.625988+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:50.876133+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:51.391640+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:51.765620+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:51.917582+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:52.068135+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:52.395700+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:52.601675+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:52.759196+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:52.910407+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:53.270471+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:53.481786+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:53.634531+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:54.035678+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:54.406713+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:54.769239+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:55.133915+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:55.706540+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:55.997443+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:56.148005+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:56.300813+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:56.665687+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:56.832640+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:56.988104+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:57.140706+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:57.495755+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:58.224873+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:58.428463+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:58.788024+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:59.150001+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:59.310065+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:59.735549+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:59.897198+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:00.048464+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:00.254041+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:00.408984+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:00.619798+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:00.790525+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:01.508137+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:01.718014+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:02.234819+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:02.387226+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:02.539921+00:00,dc_bus_voltage,0.0
