time,measurement,value
2023-08-10 13:26:51.041950+00:00,dc_bus_voltage,376.0
2023-08-10 13:26:51.257661+00:00,dc_bus_voltage,376.0
2023-08-10 13:26:52.207806+00:00,dc_bus_voltage,373.0
2023-08-10 13:26:52.371043+00:00,dc_bus_voltage,373.0
2023-08-10 13:26:52.586178+00:00,dc_bus_voltage,373.0
2023-08-10 13:26:52.742459+00:00,dc_bus_voltage,373.0
2023-08-10 13:26:52.902893+00:00,dc_bus_voltage,373.0
2023-08-10 13:26:53.072649+00:00,dc_bus_voltage,369.0
2023-08-10 13:26:53.392497+00:00,dc_bus_voltage,369.0
2023-08-10 13:26:54.092675+00:00,dc_bus_voltage,376.0
2023-08-10 13:26:54.273967+00:00,dc_bus_voltage,372.0
2023-08-10 13:26:54.956078+00:00,dc_bus_voltage,374.0
2023-08-10 13:26:55.115660+00:00,dc_bus_voltage,375.0
2023-08-10 13:26:55.268566+00:00,dc_bus_voltage,372.0
2023-08-10 13:26:55.881436+00:00,dc_bus_voltage,371.0
2023-08-10 13:26:56.341125+00:00,dc_bus_voltage,369.0
2023-08-10 13:26:56.512269+00:00,dc_bus_voltage,371.0
2023-08-10 13:26:56.717299+00:00,dc_bus_voltage,373.0
2023-08-10 13:26:56.925047+00:00,dc_bus_voltage,373.0
2023-08-10 13:26:57.079059+00:00,dc_bus_voltage,372.0
2023-08-10 13:26:57.291774+00:00,dc_bus_voltage,376.0
2023-08-10 13:26:57.706636+00:00,dc_bus_voltage,374.0
2023-08-10 13:26:57.916186+00:00,dc_bus_voltage,374.0
2023-08-10 13:26:58.068782+00:00,dc_bus_voltage,373.0
2023-08-10 13:26:58.544892+00:00,dc_bus_voltage,374.0
2023-08-10 13:26:59.222384+00:00,dc_bus_voltage,374.0
2023-08-10 13:26:59.481435+00:00,dc_bus_voltage,374.0
2023-08-10 13:27:00.015588+00:00,dc_bus_voltage,373.0
2023-08-10 13:27:00.228488+00:00,dc_bus_voltage,373.0
2023-08-10 13:27:00.975910+00:00,dc_bus_voltage,365.0
2023-08-10 13:27:01.186530+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:01.705929+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:02.239823+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:02.392036+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:02.561615+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:02.712829+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:02.882690+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:03.035038+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:03.250483+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:03.409485+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:03.624023+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:03.780380+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:04.470906+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:04.637396+00:00,dc_bus_voltage,350.0
2023-08-10 13:27:04.851744+00:00,dc_bus_voltage,308.0
2023-08-10 13:27:05.006441+00:00,dc_bus_voltage,308.0
2023-08-10 13:27:05.492440+00:00,dc_bus_voltage,369.0
2023-08-10 13:27:05.822083+00:00,dc_bus_voltage,369.0
2023-08-10 13:27:06.248194+00:00,dc_bus_voltage,369.0
2023-08-10 13:27:06.472006+00:00,dc_bus_voltage,369.0
2023-08-10 13:27:06.686235+00:00,dc_bus_voltage,368.0
2023-08-10 13:27:06.827152+00:00,dc_bus_voltage,368.0
2023-08-10 13:27:07.467145+00:00,dc_bus_voltage,368.0
2023-08-10 13:27:07.715965+00:00,dc_bus_voltage,368.0
2023-08-10 13:27:07.990076+00:00,dc_bus_voltage,367.0
2023-08-10 13:27:32.823721+00:00,dc_bus_voltage,365.0
2023-08-10 13:27:33.651983+00:00,dc_bus_voltage,374.0
2023-08-10 13:27:35.387234+00:00,dc_bus_voltage,369.0
2023-08-10 13:27:37.103032+00:00,dc_bus_voltage,368.0
2023-08-10 13:27:37.312442+00:00,dc_bus_voltage,366.0
2023-08-10 13:27:37.722876+00:00,dc_bus_voltage,366.0
2023-08-10 13:27:38.393121+00:00,dc_bus_voltage,366.0
2023-08-10 13:27:40.544387+00:00,dc_bus_voltage,366.0
2023-08-10 13:27:40.755233+00:00,dc_bus_voltage,366.0
2023-08-10 13:27:41.284599+00:00,dc_bus_voltage,367.0
2023-08-10 13:27:41.492222+00:00,dc_bus_voltage,366.0
2023-08-10 13:27:42.116197+00:00,dc_bus_voltage,369.0
2023-08-10 13:27:42.344811+00:00,dc_bus_voltage,369.0
2023-08-10 13:27:42.559250+00:00,dc_bus_voltage,368.0
2023-08-10 13:27:42.715828+00:00,dc_bus_voltage,368.0
2023-08-10 13:27:43.833387+00:00,dc_bus_voltage,368.0
2023-08-10 13:27:44.053993+00:00,dc_bus_voltage,368.0
2023-08-10 13:27:44.219585+00:00,dc_bus_voltage,368.0
2023-08-10 13:27:44.499567+00:00,dc_bus_voltage,370.0
2023-08-10 13:27:45.428549+00:00,dc_bus_voltage,365.0
2023-08-10 13:27:46.025632+00:00,dc_bus_voltage,367.0
